; -----------
; File select
; -----------

[$0C:$CEDF] $7E:F000[2] = $0000 | Room $0000
[$0D:$DBB7] $7E:F373[1] = $09   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $47   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $08   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $48   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $07   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $49   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $06   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4A   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $05   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4B   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $04   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4C   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $03   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4D   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $02   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4E   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $01   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4F   | Magic Power
[$0D:$DBB7] $7E:F373[1] = $00   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $50   | Magic Power
[$07:$B0B5] $7E:F36E[1] = $40   | Magic Power
[$07:$B0B5] $7E:F36E[1] = $30   | Magic Power
[$02:$B82E] $7E:F092[2] = $200F | Room $0049
[$02:$B89D] $7E:F092[2] = $A00F | Room $0049
[$02:$B82E] $7E:F072[2] = $0002 | Room $0039
[$06:$D196] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F072[2] = $4402 | Room $0039
[$02:$B82E] $7E:F072[2] = $4403 | Room $0039
[$02:$B82E] $7E:F052[2] = $0001 | Room $0029
[$08:$C49C] $7E:F36C[1] = $48   | Health (goal)
[$08:$C4A7] $7E:F372[1] = $08   | Hearts filler
[$0D:$DCD8] $7E:F36D[1] = $38   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $00   | Hearts filler
[$08:$CC70] $7E:F37A[1] = $62   | Crystals
[$1E:$CD9B] $7E:F3CC[1] = $06   | Tagalong
[$1E:$CDA7] $7E:F3CC[1] = $00   | Tagalong
[$00:$F9EB] $7E:F3F3[2] = $0000 | Deaths Total
[$02:$A0D5] $7E:F384[1] = $00   | Key for dungeon $08
[$02:$B89D] $7E:F052[2] = $0801 | Room $0029
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $31   | Magic Power
[$0D:$DCD8] $7E:F36D[1] = $40   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F14D] $7E:F372[1] = $A0   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $32   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $33   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $34   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $35   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $36   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $37   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $38   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $39   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3B   | Magic Power
[$0D:$DCD8] $7E:F36D[1] = $48   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $98   | Hearts filler
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$F140] $7E:F372[1] = $00   | Hearts filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3D   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $3F   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $40   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $41   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $42   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $43   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $44   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $45   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $46   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $47   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $48   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $49   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4B   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4D   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $4F   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $50   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $51   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $52   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $53   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $54   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $55   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $56   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $57   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $58   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $59   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5B   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5D   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $5F   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $60   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $61   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $62   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $63   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $64   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $65   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $66   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $67   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $68   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $69   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6B   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6D   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $6F   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $70   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $71   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $72   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $73   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $74   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $75   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $76   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $77   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $78   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $79   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7B   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7D   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7F   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $80   | Magic Power
[$0D:$DBAC] $7E:F373[1] = $00   | Magic filler
[$02:$82F0] $7E:F36F[1] = $FF   | Keys
[$02:$B166] $7E:F3CA[1] = $00   | LW/DW
[$02:$B166] $7E:F3CA[1] = $40   | LW/DW
[$09:$863C] $7E:F349[1] = $01   | Quake Medallion
[$02:$B166] $7E:F3CA[1] = $00   | LW/DW
[$05:$9AA2] $7E:F360[2] = $0064 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0257 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0256 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0255 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0254 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0253 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0252 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0251 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0250 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $024F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $024E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $024D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $024C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $024B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $024A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0249 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0248 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0247 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0246 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0245 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0244 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0243 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0242 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0241 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0240 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $023F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $023E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $023D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $023C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $023B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $023A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0239 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0238 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0237 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0236 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0235 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0234 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0233 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0232 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0231 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0230 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $022F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $022E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $022D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $022C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $022B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $022A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0229 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0228 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0227 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0226 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0225 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0224 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0223 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0222 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0221 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0220 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $021F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $021E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $021D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $021C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $021B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $021A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0219 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0218 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0217 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0216 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0215 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0214 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0213 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0212 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0211 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0210 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $020F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $020E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $020D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $020C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $020B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $020A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0209 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0208 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0207 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0206 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0205 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0204 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0203 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0202 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0201 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0200 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01FF | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01FE | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01FD | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01FC | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01FB | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01FA | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F9 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F8 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F7 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F6 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F5 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F4 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F3 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F2 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F1 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01F0 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01EF | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01EE | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01ED | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01EC | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01EB | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01EA | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E9 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E8 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E7 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E6 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E5 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E4 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E3 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E2 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E1 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01E0 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01DF | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01DE | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01DD | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01DC | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01DB | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01DA | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01D9 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01D8 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01D7 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01D6 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01D5 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $01D4 | Rupees (actual)
